Ticker,Price,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score
MDLZ,63.61000061035156,N/A,0.06023920805536064,0.17002237136465326,0.03368823441932409,0.14765100671140938,0.061270547622623836,0.2975391498881432,0.04278689525166496,0.4093959731543624,0.25615212527964204
MDT,91.2699966430664,N/A,0.013089780708128098,0.03355704697986577,0.06678659723268839,0.2841163310961969,0.20936943956979678,0.7651006711409396,0.09699519219747661,0.7203579418344519,0.4507829977628635
MET,97.66000366210938,N/A,0.2989511474117922,0.6442953020134228,0.2807920593944488,0.825503355704698,0.23170028341488863,0.8098434004474272,0.045372826871843686,0.43624161073825507,0.6789709172259508
MGM,44.099998474121094,N/A,0.2277283051825936,0.5279642058165548,0.2917398729506896,0.8478747203579418,0.19285899426546907,0.7293064876957495,0.04400612501605307,0.4250559284116331,0.6325503355704698
MHK,140.10000610351562,N/A,0.09384762726905684,0.25279642058165547,0.056561083369370616,0.23937360178970915,0.4509114503498333,0.9664429530201342,0.2565022968925168,0.9664429530201342,0.6062639821029082
MKC,54.66999816894531,N/A,0.1903015250549586,0.4742729306487696,0.22146967480412358,0.7427293064876958,0.19019205631304364,0.7270693512304249,0.057446757488925755,0.5078299776286354,0.6129753914988814
MKTX,162.57000732421875,N/A,0.12867089161957954,0.33557046979865773,0.08458267321028717,0.37360178970917224,0.18070613492016965,0.6890380313199106,0.4285589012706763,0.9955257270693513,0.598434004474273
MLM,547.9299926757812,N/A,0.09632641220058522,0.2662192393736018,0.19072121965807998,0.6823266219239373,0.017805095478961544,0.09619686800894854,0.026058112444026157,0.2595078299776286,0.32606263982102907
MMM,182.64999389648438,N/A,0.22098974412068165,0.5212527964205816,0.06852869816093965,0.3020134228187919,0.2556053106089452,0.8456375838926173,0.14270519320067426,0.8612975391498882,0.6325503355704698
MNST,46.81999969482422,N/A,0.2756806909512122,0.6085011185682326,0.42538048888236774,0.9284116331096196,0.46239520423020114,0.970917225950783,0.5197948749248799,1.0,0.8769574944071588
